facility_name,state,industry_sector,total_ghg_emissions_tonnes,latitude,longitude,reporting_year
AG PROCESSING INCORPORATED A COOPERATIVE,MN,Other,36929.36,44.93265,-96.056491,2021
AGC FLAT GLASS N AMERICA INC,KY,Minerals,88408.856,37.70035,-84.26846,2021
AGP SOY/CORN PROCESSING,NE,Other,186097.972,40.58971,-98.33974,2021
AGRI ENERGY LLC,MN,"Chemicals,Waste",2211.992,43.648333,-96.224444,2021
AGRIUM US BORGER NITROGEN OPERATIONS,TX,"Chemicals,Suppliers of CO2",730767.124,35.6411,-101.4203,2021
AGRIUM US INC - KFO,WA,Chemicals,186638.096,46.165957,-119.017218,2021
AHN Heartland Ingredients,IA,Other,113044.424,41.14375,-92.647694,2021
"AIR LIQUID LARGE INDUSTRIES US, LP",CA,Chemicals,532253.6,33.905833,-118.401944,2021
AIR LIQUIDE - CORPUS CHRISTI SMR,TX,Chemicals,355697.4,27.813911,-97.472347,2021
AIR LIQUIDE - FREEPORT HYCO PLANT,TX,Chemicals,198256.4,28.98037,-95.38396,2021
AIR LIQUIDE - PORT NECHES ASU COGENERATION PLANT,TX,Chemicals,3369.488,29.981116,-93.952389,2021
AIR LIQUIDE AMERICA CORP,TX,Chemicals,452437.0,32.4478,-94.6875,2021
AIR LIQUIDE AMERICA CORP.,LA,Chemicals,332633.148,30.21023,-90.99085,2021
AIR LIQUIDE GEISMAR UTILITY SERVICES,LA,Power Plants,214522.956,30.216085,-91.002699,2021
AIR LIQUIDE LARGE INDUSTRIES US LP - RODEO HYDROGEN PLANT,CA,Chemicals,815291.7,38.047952,-122.256895,2021
AIR PRODUCTS & CHEMICAL INC - LAKE CHARLES FACILITY,LA,Chemicals,803093.0,30.237363,-93.285908,2021
AIR PRODUCTS & CHEMICALS INC - Geismar SMR,LA,"Chemicals,Suppliers of CO2",34010.0,30.18379,-90.98836,2021
AIR PRODUCTS & CHEMICALS INC - INDUSTRIAL GAS PRODUCTION FACILITY,LA,Chemicals,71084.9,30.022255,-89.900984,2021
AIR PRODUCTS & CHEMICALS INC MARTINEZ WATERFRONT ROAD,CA,Chemicals,664568.2,38.032767,-122.07594,2021
AC 857 A,TX,Petroleum and Natural Gas Systems,235652.99,26.29555555,-94.89777777,2021
30-30 Gas Plant,TX,"Injection of CO2,Petroleum and Natural Gas Systems",26054.986,33.05188,-102.88792,2021
50 Buttes Gas Plant,WY,Petroleum and Natural Gas Systems,59458.73,43.85274,-105.77781,2021
AJAX PLANT,TX,Petroleum and Natural Gas Systems,34980.124,35.546399,-100.116256,2021
AKER PLANT,TX,"Petroleum and Natural Gas Systems,Suppliers of CO2",39876.8,31.91,-96.2233,2021
ALLIANCE COMPRESSOR STATION,TX,Petroleum and Natural Gas Systems,49188.956,33.03512,-97.331434,2021
ALLISON GAS PLANT,TX,Petroleum and Natural Gas Systems,43872.89,35.60785,-100.10148,2021
ANSHUTZ RANCH EAST GAS PLANT,WY,Petroleum and Natural Gas Systems,9477.332,41.067222,-111.040833,2021
"AIR PRODUCTS & CHEMICALS, INC, Tesoro Martinez",CA,Chemicals,0.0,38.026667,-122.067222,2021
AIR PRODUCTS AND CHEMICALS INC - CATLETTSBURG HYDROGEN PLANT,KY,Chemicals,125558.9,38.37673,-82.60581,2021
AIR PRODUCTS AND CHEMICALS INC - GARYVILLE,LA,Chemicals,802345.1,30.09959,-90.648851,2021
AIR PRODUCTS AND CHEMICALS INCORPORATED,CA,Chemicals,47413.7,38.529722,-121.398889,2021
AIR PRODUCTS BAYTOWN PLANT,TX,Chemicals,93463.848,29.757778,-95.023056,2021
AIR PRODUCTS CARSON HYDROGEN PLANT,CA,Chemicals,711592.7,33.812778,-118.231389,2021
